GUE122060	GUE122060
GUE122079	GUE122079
HG00096	HG00096
HG00097	HG00100
HG00099	HG00101
HG00100	HG00102
HG00101	HG00103
HG00102	HG00105
HG00103	HG00106
HG00105	HG00107
HG00106	HG00108
HG00107	HG00109
HG00108	HG00110
HG00109	HG00111
HG00110	HG00112
HG00111	HG00113
HG00112	HG00114
HG00113	HG00115
HG00114	HG00116
HG00115	HG00117
HG00116	HG00118
HG00117	HG00119
HG00118	HG00120
HG00119	HG00121
HG00120	HG00122
HG00121	HG00123
HG00122	HG00125
HG00123	HG00126
HG00125	HG00127
HG00126	HG00128
HG00127	HG00129
HG00128	HG00130
HG00129	HG00131
HG00130	HG00132
HG00131	HG00133
HG00132	HG00136
HG00133	HG00137
HG00136	HG00138
HG00137	HG00139
HG00138	HG00140
HG00139	HG00141
HG00140	HG00142
HG00141	HG00143
HG00142	HG00145
HG00143	HG00146
HG00145	HG00148
HG00146	HG00149
HG00148	HG00150
HG00149	HG00151
HG00150	HG00154
HG00151	HG00155
HG00154	HG00157
HG00155	HG00158
HG00157	HG00159
HG00158	HG00160
HG00159	HG00231
HG00160	HG00232
HG00171	HG00233
HG00173	HG00234
HG00174	HG00235
HG00176	HG00236
HG00177	HG00237
HG00178	HG00238
HG00179	HG00239
HG00180	HG00240
HG00181	HG00243
HG00182	HG00244
HG00183	HG00245
HG00185	HG00246
HG00186	HG00250
HG00187	HG00251
HG00188	HG00252
HG00189	HG00253
HG00190	HG00254
HG00231	HG00255
HG00232	HG00256
HG00233	HG00257
HG00234	HG00258
HG00235	HG00259
HG00236	HG00260
HG00237	HG00261
HG00238	HG00262
HG00239	HG00263
HG00240	HG00264
HG00242	HG00265
HG00243	HG00403
HG00244	HG00404
HG00245	HG00406
HG00246	HG00407
HG00250	HG00409
HG00251	HG00410
HG00252	HG00419
HG00253	HG00421
HG00254	HG00422
HG00255	HG00428
HG00256	HG00436
HG00257	HG00437
HG00258	HG00442
HG00259	HG00443
HG00260	HG00445
HG00261	HG00446
HG00262	HG00448
HG00263	HG00449
HG00264	HG00451
HG00265	HG00452
HG00266	HG00457
HG00267	HG00458
HG00268	HG00463
HG00269	HG00464
HG00271	HG00472
HG00272	HG00473
HG00273	HG00475
HG00274	HG00476
HG00275	HG00478
HG00276	HG00479
HG00277	HG00500
HG00278	HG00513
HG00280	HG00524
HG00281	HG00525
HG00282	HG00530
HG00284	HG00531
HG00285	HG00533
HG00288	HG00534
HG00290	HG00536
HG00304	HG00537
HG00306	HG00542
HG00308	HG00543
HG00309	HG00556
HG00310	HG00557
HG00311	HG00559
HG00313	HG00560
HG00315	HG00565
HG00318	HG00566
HG00319	HG00580
HG00320	HG00581
HG00321	HG00583
HG00323	HG00584
HG00324	HG00589
HG00325	HG00590
HG00326	HG00592
HG00327	HG00593
HG00328	HG00595
HG00329	HG00596
HG00330	HG00598
HG00331	HG00599
HG00332	HG00607
HG00334	HG00608
HG00335	HG00610
HG00336	HG00611
HG00337	HG00613
HG00338	HG00614
HG00339	HG00619
HG00341	HG00620
HG00342	HG00622
HG00343	HG00623
HG00344	HG00625
HG00345	HG00626
HG00346	HG00628
HG00349	HG00629
HG00350	HG00631
HG00351	HG00632
HG00353	HG00634
HG00355	HG00650
HG00356	HG00651
HG00357	HG00653
HG00358	HG00654
HG00360	HG00656
HG00361	HG00657
HG00362	HG00662
HG00364	HG00663
HG00365	HG00671
HG00366	HG00672
HG00367	HG00674
HG00368	HG00675
HG00369	HG00683
HG00371	HG00684
HG00372	HG00689
HG00373	HG00690
HG00375	HG00692
HG00376	HG00693
HG00378	HG00698
HG00379	HG00699
HG00380	HG00701
HG00381	HG00704
HG00382	HG00705
HG00383	HG00707
HG00384	HG00708
HG00403	HG00717
HG00404	HG00728
HG00406	HG00729
HG00407	HG00759
HG00409	HG00766
HG00410	HG00844
HG00419	HG00851
HG00421	HG00864
HG00422	HG00867
HG00428	HG00879
HG00436	HG00881
HG00437	HG00956
HG00442	HG00978
HG00443	HG00982
HG00445	HG01028
HG00446	HG01029
HG00448	HG01031
HG00449	HG01046
HG00451	HG01334
HG00452	HG01500
HG00457	HG01501
HG00458	HG01503
HG00463	HG01504
HG00464	HG01506
HG00472	HG01507
HG00473	HG01509
HG00475	HG01510
HG00476	HG01512
HG00478	HG01513
HG00479	HG01515
HG00500	HG01516
HG00513	HG01518
HG00524	HG01519
HG00525	HG01521
HG00530	HG01522
HG00531	HG01524
HG00533	HG01525
HG00534	HG01527
HG00536	HG01528
HG00537	HG01530
HG00542	HG01531
HG00543	HG01536
HG00556	HG01537
HG00557	HG01572
HG00559	HG01595
HG00560	HG01596
HG00565	HG01597
HG00566	HG01598
HG00580	HG01599
HG00581	HG01600
HG00583	HG01602
HG00584	HG01603
HG00589	HG01605
HG00590	HG01606
HG00592	HG01607
HG00593	HG01608
HG00595	HG01610
HG00596	HG01612
HG00598	HG01613
HG00599	HG01615
HG00607	HG01617
HG00608	HG01618
HG00610	HG01619
HG00611	HG01620
HG00613	HG01623
HG00614	HG01624
HG00619	HG01625
HG00620	HG01626
HG00622	HG01630
HG00623	HG01631
HG00625	HG01632
HG00626	HG01669
HG00628	HG01670
HG00629	HG01672
HG00631	HG01673
HG00632	HG01675
HG00634	HG01676
HG00650	HG01678
HG00651	HG01679
HG00653	HG01680
HG00654	HG01682
HG00656	HG01684
HG00657	HG01685
HG00662	HG01686
HG00663	HG01697
HG00671	HG01699
HG00672	HG01700
HG00674	HG01702
HG00675	HG01704
HG00683	HG01705
HG00684	HG01707
HG00689	HG01708
HG00690	HG01709
HG00692	HG01710
HG00693	HG01746
HG00698	HG01747
HG00699	HG01756
HG00701	HG01757
HG00704	HG01761
HG00705	HG01762
HG00707	HG01765
HG00708	HG01766
HG00717	HG01767
HG00728	HG01768
HG00729	HG01770
HG00759	HG01771
HG00766	HG01773
HG00844	HG01775
HG00851	HG01776
HG00864	HG01777
HG00867	HG01779
HG00879	HG01781
HG00881	HG01783
HG00956	HG01784
HG00978	HG01785
HG00982	HG01786
HG01028	HG01789
HG01029	HG01790
HG01031	HG01791
HG01046	HG01794
HG01334	HG01795
HG01500	HG01796
HG01501	HG01797
HG01503	HG01798
HG01504	HG01799
HG01506	HG01800
HG01507	HG01801
HG01509	HG01802
HG01510	HG01804
HG01512	HG01805
HG01513	HG01806
HG01515	HG01807
HG01516	HG01808
HG01518	HG01809
HG01519	HG01810
HG01521	HG01811
HG01522	HG01812
HG01524	HG01813
HG01525	HG01815
HG01527	HG01816
HG01528	HG01817
HG01530	HG01840
HG01531	HG01841
HG01536	HG01842
HG01537	HG01843
HG01595	HG01844
HG01596	HG01845
HG01597	HG01846
HG01598	HG01847
HG01599	HG01848
HG01600	HG01849
HG01602	HG01850
HG01603	HG01851
HG01605	HG01852
HG01606	HG01853
HG01607	HG01855
HG01608	HG01857
HG01610	HG01858
HG01612	HG01859
HG01613	HG01860
HG01615	HG01861
HG01617	HG01862
HG01618	HG01863
HG01619	HG01864
HG01620	HG01865
HG01623	HG01866
HG01624	HG01867
HG01625	HG01868
HG01626	HG01869
HG01628	HG01870
HG01630	HG01871
HG01631	HG01872
HG01632	HG01873
HG01668	HG01874
HG01669	HG01878
HG01670	HG01882
HG01672	HG01885
HG01673	HG01889
HG01675	HG01896
HG01676	HG01920
HG01678	HG01923
HG01679	HG01926
HG01680	HG01927
HG01682	HG01938
HG01684	HG01951
HG01685	HG01961
HG01686	HG01968
HG01694	HG01974
HG01695	HG02013
HG01697	HG02017
HG01699	HG02019
HG01700	HG02020
HG01702	HG02023
HG01704	HG02025
HG01705	HG02026
HG01707	HG02028
HG01708	HG02029
HG01709	HG02031
HG01710	HG02032
HG01746	HG02035
HG01747	HG02040
HG01756	HG02047
HG01757	HG02048
HG01761	HG02049
HG01762	HG02050
HG01765	HG02051
HG01766	HG02052
HG01767	HG02057
HG01768	HG02058
HG01770	HG02060
HG01771	HG02061
HG01773	HG02064
HG01775	HG02067
HG01776	HG02069
HG01777	HG02070
HG01779	HG02072
HG01781	HG02073
HG01783	HG02075
HG01784	HG02076
HG01785	HG02078
HG01786	HG02079
HG01789	HG02081
HG01790	HG02082
HG01791	HG02084
HG01794	HG02085
HG01795	HG02086
HG01796	HG02087
HG01797	HG02088
HG01798	HG02095
HG01799	HG02105
HG01800	HG02107
HG01801	HG02111
HG01802	HG02113
HG01804	HG02116
HG01805	HG02121
HG01806	HG02122
HG01807	HG02127
HG01808	HG02128
HG01809	HG02130
HG01810	HG02133
HG01811	HG02134
HG01812	HG02136
HG01813	HG02137
HG01815	HG02138
HG01816	HG02139
HG01817	HG02140
HG01840	HG02141
HG01841	HG02142
HG01842	HG02144
HG01843	HG02147
HG01844	HG02150
HG01845	HG02151
HG01846	HG02152
HG01847	HG02153
HG01848	HG02154
HG01849	HG02155
HG01850	HG02156
HG01851	HG02164
HG01852	HG02165
HG01853	HG02166
HG01855	HG02178
HG01857	HG02179
HG01858	HG02180
HG01859	HG02181
HG01860	HG02182
HG01861	HG02184
HG01862	HG02185
HG01863	HG02186
HG01864	HG02187
HG01865	HG02188
HG01866	HG02190
HG01867	HG02215
HG01868	HG02219
HG01869	HG02220
HG01870	HG02221
HG01871	HG02223
HG01872	HG02224
HG01873	HG02230
HG01874	HG02231
HG01878	HG02232
HG02016	HG02233
HG02017	HG02235
HG02019	HG02236
HG02020	HG02238
HG02023	HG02250
HG02025	HG02259
HG02026	HG02265
HG02028	HG02266
HG02029	HG02271
HG02031	HG02272
HG02032	HG02275
HG02035	HG02281
HG02040	HG02291
HG02047	HG02307
HG02048	HG02317
HG02049	HG02318
HG02050	HG02325
HG02057	HG02339
HG02058	HG02351
HG02060	HG02353
HG02061	HG02355
HG02064	HG02356
HG02067	HG02360
HG02069	HG02364
HG02070	HG02367
HG02072	HG02371
HG02073	HG02373
HG02075	HG02374
HG02076	HG02375
HG02078	HG02379
HG02079	HG02380
HG02081	HG02382
HG02082	HG02383
HG02084	HG02384
HG02085	HG02385
HG02086	HG02386
HG02087	HG02389
HG02088	HG02390
HG02113	HG02391
HG02116	HG02392
HG02121	HG02394
HG02122	HG02395
HG02127	HG02396
HG02128	HG02397
HG02130	HG02398
HG02131	HG02399
HG02133	HG02401
HG02134	HG02402
HG02136	HG02406
HG02137	HG02407
HG02138	HG02408
HG02139	HG02409
HG02140	HG02410
HG02141	HG02419
HG02142	HG02439
HG02151	HG02442
HG02152	HG02449
HG02153	HG02497
HG02154	HG02508
HG02155	HG02511
HG02156	HG02512
HG02164	HG02513
HG02165	HG02521
HG02166	HG02522
HG02178	HG02537
HG02179	HG02549
HG02180	HG02557
HG02181	HG02635
HG02182	HG02687
HG02184	HG02786
HG02185	HG02851
HG02186	HG02922
HG02187	HG02923
HG02188	HG02938
HG02190	HG02941
HG02215	HG02943
HG02219	HG02944
HG02220	HG02946
HG02221	HG02947
HG02223	HG02952
HG02224	HG02953
HG02230	HG02968
HG02231	HG02970
HG02232	HG02971
HG02233	HG02973
HG02235	HG02974
HG02236	HG02976
HG02238	HG02977
HG02239	HG02979
HG02250	HG02981
HG02351	HG03040
HG02353	HG03081
HG02355	HG03095
HG02356	HG03099
HG02360	HG03100
HG02364	HG03103
HG02367	HG03105
HG02371	HG03108
HG02373	HG03109
HG02374	HG03111
HG02375	HG03112
HG02379	HG03114
HG02380	HG03115
HG02382	HG03117
HG02383	HG03118
HG02384	HG03120
HG02385	HG03121
HG02386	HG03123
HG02389	HG03124
HG02390	HG03126
HG02391	HG03127
HG02392	HG03129
HG02394	HG03130
HG02395	HG03132
HG02396	HG03133
HG02397	HG03135
HG02398	HG03136
HG02399	HG03139
HG02401	HG03157
HG02402	HG03159
HG02406	HG03160
HG02407	HG03162
HG02408	HG03163
HG02409	HG03166
HG02410	HG03168
HG02461	HG03169
HG02462	HG03172
HG02464	HG03175
HG02465	HG03189
HG02512	HG03190
HG02513	HG03193
HG02521	HG03195
HG02522	HG03196
HG02561	HG03198
HG02562	HG03199
HG02568	HG03202
HG02570	HG03265
HG02571	HG03267
HG02573	HG03268
HG02574	HG03270
HG02582	HG03271
HG02583	HG03279
HG02585	HG03280
HG02586	HG03291
HG02588	HG03294
HG02589	HG03295
HG02594	HG03297
HG02595	HG03298
HG02610	HG03300
HG02611	HG03301
HG02613	HG03303
HG02614	HG03304
HG02620	HG03311
HG02621	HG03313
HG02623	HG03342
HG02624	HG03343
HG02628	HG03351
HG02629	HG03352
HG02634	HG03354
HG02635	HG03363
HG02642	HG03366
HG02643	HG03367
HG02645	HG03369
HG02646	HG03370
HG02666	HG03372
HG02667	HG03432
HG02675	HG03499
HG02676	HG03511
HG02678	HG03514
HG02679	HG03515
HG02702	HG03517
HG02703	HG03518
HG02715	HG03520
HG02716	HG03521
HG02721	HG03563
HG02722	HG03600
HG02756	HG03642
HG02757	HG03643
HG02759	HG03645
HG02760	HG03672
HG02763	HG03680
HG02768	HG03684
HG02769	HG03685
HG02771	HG03686
HG02772	HG03687
HG02798	HG03689
HG02799	HG03690
HG02804	HG03691
HG02805	HG03692
HG02807	HG03693
HG02808	HG03695
HG02810	HG03696
HG02811	HG03711
HG02813	HG03717
HG02814	HG03718
HG02816	HG03722
HG02817	HG03729
HG02819	HG03730
HG02820	HG03731
HG02836	HG03733
HG02837	HG03738
HG02839	HG03740
HG02840	HG03743
HG02851	HG03744
HG02852	HG03745
HG02854	HG03753
HG02855	HG03754
HG02860	HG03755
HG02861	HG03756
HG02870	HG03757
HG02878	HG03771
HG02879	HG03772
HG02881	HG03773
HG02882	HG03774
HG02884	HG03778
HG02885	HG03780
HG02887	HG03784
HG02888	HG03785
HG02890	HG03786
HG02891	HG03787
HG02895	HG03790
HG02896	HG03836
HG02922	HG03837
HG02923	HG03838
HG02938	HG03846
HG02941	HG03848
HG02943	HG03849
HG02944	HG03850
HG02946	HG03851
HG02947	HG03856
HG02952	HG03858
HG02953	HG03861
HG02968	HG03862
HG02970	HG03863
HG02971	HG03866
HG02973	HG03867
HG02974	HG03870
HG02976	HG03872
HG02977	HG03873
HG02979	HG03882
HG02981	HG03884
HG02982	HG03885
HG02983	HG03886
HG03024	HG03887
HG03025	HG03894
HG03027	HG03896
HG03028	HG03898
HG03039	HG03899
HG03040	HG03940
HG03045	HG03941
HG03046	HG03943
HG03048	HG03944
HG03049	HG03947
HG03052	HG03949
HG03054	HG03951
HG03055	HG03955
HG03057	HG03963
HG03058	HG03967
HG03060	HG03973
HG03061	HG03976
HG03063	HG03977
HG03064	HG03985
HG03066	HG03986
HG03069	HG03990
HG03072	HG03991
HG03073	HG03998
HG03074	HG03999
HG03077	HG04001
HG03078	HG04002
HG03079	HG04006
HG03081	HG04015
HG03082	HG04017
HG03084	HG04018
HG03085	HG04019
HG03086	HG04022
HG03088	HG04023
HG03091	HG04025
HG03095	HG04026
HG03096	HG04029
HG03097	HG04033
HG03099	HG04035
HG03100	HG04042
HG03103	HG04047
HG03105	HG04054
HG03108	HG04056
HG03109	HG04061
HG03111	HG04062
HG03112	HG04063
HG03114	HG04070
HG03115	HG04075
HG03117	HG04076
HG03118	HG04093
HG03120	HG04094
HG03121	HG04096
HG03123	HG04098
HG03124	HG04100
HG03126	HG04107
HG03127	HG04185
HG03129	HG04186
HG03130	HG04198
HG03132	HG04202
HG03133	HG04206
HG03135	HG04209
HG03136	HG04211
HG03139	HG04212
HG03157	HG04214
HG03159	HG04219
HG03160	HG04222
HG03162	HG04225
HG03163	HG04229
HG03166	HG04239
HG03168	HUI001
HG03169	HUI002
HG03172	HUI003
HG03175	HUI004
HG03189	HUI005
HG03190	HUI006
HG03193	HUI007
HG03195	HUI008
HG03196	HUI009
HG03198	HUI010
HG03199	HUI011
HG03202	HUI012
HG03209	HUI013
HG03212	HUI014
HG03224	HUI015
HG03225	HUI016
HG03240	HUI017
HG03241	HUI018
HG03246	HUI019
HG03247	HUI020
HG03258	HUI021
HG03259	HUI022
HG03265	HUI023
HG03267	HUI024
HG03268	LAC001
HG03270	LAC002
HG03271	LAC003
HG03279	LAC004
HG03280	LAC005
HG03291	LAC006
HG03294	LAC007
HG03295	LAC008
HG03297	LAC009
HG03298	LAC011
HG03300	LAC012
HG03301	LAC014
HG03303	LAC018
HG03304	LAC019
HG03311	LAC020
HG03313	LAC021
HG03342	LAC022
HG03343	MAZ001
HG03351	MAZ002
HG03352	MAZ003
HG03354	MAZ005
HG03363	MAZ006
HG03366	MAZ007
HG03367	MAZ008
HG03369	MAZ009
HG03370	MAZ010
HG03372	MAZ011
HG03376	MAZ012
HG03378	MAZ013
HG03380	MAZ014
HG03382	MAZ015
HG03385	MAZ016
HG03388	MAZ017
HG03391	MYAC041703
HG03394	MYAC041710
HG03397	MYAC041716
HG03401	MYAC041717
HG03410	MYAC041726
HG03419	MYAC041728
HG03428	MYAC041732
HG03432	MYAC042701
HG03433	MYAC042709
HG03436	MYAC042712
HG03437	MYAC042714
